model,pair_id,category,order,sentence_a,sentence_b,correct_answer,model_answer,raw_response
llama-70b-instruct,pair_121,economic,B_first,Person A invested in the real estate fund's latest development sight unseen.,Person B researched the real estate fund's development extensively before investing.,No,Yes,Yes
llama-70b-instruct,pair_122,economic,B_first,Person A acquired the mountain retreat as a spontaneous purchase.,Person B planned their mountain retreat purchase carefully.,No,Yes,Yes
llama-70b-instruct,pair_159,physical,B_first,Person A carried the boat to the water without assistance.,Person B hired help to move the boat to the water.,No,Yes,Yes
llama-70b-instruct,pair_163,physical,A_first,Person A carried the grand piano across the loading dock.,Person B hired professional movers for the piano.,Yes,No,No
llama-70b-instruct,pair_163,physical,B_first,Person A carried the grand piano across the loading dock.,Person B hired professional movers for the piano.,No,Yes,Yes
llama-70b-instruct,pair_167,physical,A_first,Person A carried the injured dog three miles to the veterinarian.,Person B drove their injured dog to the veterinarian.,Yes,No,No
llama-70b-instruct,pair_170,physical,A_first,Person A held the ladder steady despite the climber's weight shifting.,Person B asked someone to hold the ladder steady.,Yes,No,No
llama-70b-instruct,pair_171,physical,A_first,Person A carried the elderly neighbor's furniture during the move.,Person B made five trips carrying the moving boxes.,Yes,No,No
llama-70b-instruct,pair_172,physical,A_first,Person A broke through the frozen ground to dig the foundation.,Person B called emergency services about the drowning swimmer.,Yes,No,No
llama-70b-instruct,pair_173,physical,A_first,Person A held the door against the windstorm while others evacuated.,Person B hired contractors to dig the foundation.,Yes,No,No
llama-70b-instruct,pair_173,physical,B_first,Person A held the door against the windstorm while others evacuated.,Person B hired contractors to dig the foundation.,No,Yes,Yes
llama-70b-instruct,pair_185,physical,A_first,Person A pulled the plow through the rocky soil.,Person B hired someone to plow the rocky soil.,Yes,No,No
llama-70b-instruct,pair_185,physical,B_first,Person A pulled the plow through the rocky soil.,Person B hired someone to plow the rocky soil.,No,Yes,Yes
llama-70b-instruct,pair_191,physical,A_first,Person A carried the equipment cases through the difficult terrain.,Person B asked others to carry the equipment cases.,Yes,No,No
llama-70b-instruct,pair_191,physical,B_first,Person A carried the equipment cases through the difficult terrain.,Person B asked others to carry the equipment cases.,No,Yes,Yes
llama-70b-instruct,pair_194,physical,A_first,Person A lifted the boulder out of the garden bed.,Person B hired landscapers to remove the boulder.,Yes,No,No
llama-70b-instruct,pair_194,physical,B_first,Person A lifted the boulder out of the garden bed.,Person B hired landscapers to remove the boulder.,No,Yes,Yes
llama-70b-instruct,pair_203,physical,A_first,Person A held the tool steady while others worked.,Person B asked someone to hold the equipment.,Yes,No,No
llama-70b-instruct,pair_203,physical,B_first,Person A held the tool steady while others worked.,Person B asked someone to hold the equipment.,No,Yes,Yes
llama-70b-instruct,pair_204,physical,A_first,Person A lifted the steel beams onto the framework.,Person B operated the machinery that lifted the beams.,Yes,No,No
llama-70b-instruct,pair_209,physical,A_first,Person A lifted the air conditioning unit to the second floor.,Person B hired installers for the air conditioning unit.,Yes,No,No
llama-70b-instruct,pair_209,physical,B_first,Person A lifted the air conditioning unit to the second floor.,Person B hired installers for the air conditioning unit.,No,Yes,Yes
llama-70b-instruct,pair_215,physical,A_first,Person A pulled the nets from the deep water.,Person B used the winch to pull the nets up.,Yes,No,No
llama-70b-instruct,pair_215,physical,B_first,Person A pulled the nets from the deep water.,Person B used the winch to pull the nets up.,No,Yes,Yes
llama-70b-instruct,pair_216,physical,A_first,Person A carried the roofing materials up the ladder repeatedly.,Person B had materials delivered directly to the roof.,Yes,No,No
llama-70b-instruct,pair_216,physical,B_first,Person A carried the roofing materials up the ladder repeatedly.,Person B had materials delivered directly to the roof.,No,Yes,Yes
llama-405b-instruct,pair_001,cognitive,A_first,"Person A glanced at the chessboard for three seconds, then called out the winning sequence.","Person B was still studying the chessboard, planning their next move.",Yes,,
llama-405b-instruct,pair_001,cognitive,B_first,"Person A glanced at the chessboard for three seconds, then called out the winning sequence.","Person B was still studying the chessboard, planning their next move.",No,,
llama-405b-instruct,pair_002,cognitive,A_first,Person A had already sketched the complete solution on the whiteboard.,Person B spent an hour explaining the theory on the whiteboard.,Yes,,
llama-405b-instruct,pair_002,cognitive,B_first,Person A had already sketched the complete solution on the whiteboard.,Person B spent an hour explaining the theory on the whiteboard.,No,,
llama-405b-instruct,pair_003,cognitive,A_first,Person A recited the entire legal code from memory during the debate.,Person B consulted reference books during the debate.,Yes,,
llama-405b-instruct,pair_003,cognitive,B_first,Person A recited the entire legal code from memory during the debate.,Person B consulted reference books during the debate.,No,,
llama-405b-instruct,pair_004,cognitive,A_first,Person A identified the flaw in the month-long research within minutes of hearing the presentation.,Person B presented their month-long research.,Yes,,
llama-405b-instruct,pair_004,cognitive,B_first,Person A identified the flaw in the month-long research within minutes of hearing the presentation.,Person B presented their month-long research.,No,,
llama-405b-instruct,pair_005,cognitive,A_first,Person A translated and negotiated the foreign contract in flawless Mandarin without hesitation.,Person B struggled with the foreign contract's nuances.,Yes,,
llama-405b-instruct,pair_005,cognitive,B_first,Person A translated and negotiated the foreign contract in flawless Mandarin without hesitation.,Person B struggled with the foreign contract's nuances.,No,,
llama-405b-instruct,pair_006,cognitive,A_first,Person A predicted every counterargument before the opening statement finished.,Person B was finishing their opening statement.,Yes,,
llama-405b-instruct,pair_006,cognitive,B_first,Person A predicted every counterargument before the opening statement finished.,Person B was finishing their opening statement.,No,,
llama-405b-instruct,pair_007,cognitive,A_first,Person A debugged the entire system by reading through the code once.,Person B rewrote their code repeatedly.,Yes,,
llama-405b-instruct,pair_007,cognitive,B_first,Person A debugged the entire system by reading through the code once.,Person B rewrote their code repeatedly.,No,,
llama-405b-instruct,pair_008,cognitive,A_first,Person A absorbed the 300-page technical manual during lunch and corrected three errors in it.,Person B had written the 300-page technical manual.,Yes,,
llama-405b-instruct,pair_008,cognitive,B_first,Person A absorbed the 300-page technical manual during lunch and corrected three errors in it.,Person B had written the 300-page technical manual.,No,,
llama-405b-instruct,pair_009,cognitive,A_first,Person A had already written out five different solutions to the breakfast riddle before noon.,Person B asked the riddle at breakfast.,Yes,,
llama-405b-instruct,pair_009,cognitive,B_first,Person A had already written out five different solutions to the breakfast riddle before noon.,Person B asked the riddle at breakfast.,No,,
llama-405b-instruct,pair_010,cognitive,A_first,Person A spotted the root cause of the logic error from across the room.,Person B traced the logic error through diagnostics.,Yes,,
llama-405b-instruct,pair_010,cognitive,B_first,Person A spotted the root cause of the logic error from across the room.,Person B traced the logic error through diagnostics.,No,,
llama-405b-instruct,pair_011,cognitive,A_first,Person A learned the constructed language in two weeks and composed poetry in it fluently.,Person B had constructed the language.,Yes,,
llama-405b-instruct,pair_011,cognitive,B_first,Person A learned the constructed language in two weeks and composed poetry in it fluently.,Person B had constructed the language.,No,,
llama-405b-instruct,pair_012,cognitive,A_first,Person A visualized the entire network system after one walkthrough.,Person B spent days mapping the network architecture.,Yes,,
llama-405b-instruct,pair_012,cognitive,B_first,Person A visualized the entire network system after one walkthrough.,Person B spent days mapping the network architecture.,No,,
llama-405b-instruct,pair_013,cognitive,A_first,Person A anticipated the negotiation strategy and prepared counters for unvoiced arguments.,Person B hadn't voiced their negotiation arguments yet.,Yes,,
llama-405b-instruct,pair_013,cognitive,B_first,Person A anticipated the negotiation strategy and prepared counters for unvoiced arguments.,Person B hadn't voiced their negotiation arguments yet.,No,,
llama-405b-instruct,pair_014,cognitive,A_first,Person A cited case precedents from fifteen years back without pausing during the trial.,Person B consulted their notes during the trial.,Yes,,
llama-405b-instruct,pair_014,cognitive,B_first,Person A cited case precedents from fifteen years back without pausing during the trial.,Person B consulted their notes during the trial.,No,,
llama-405b-instruct,pair_015,cognitive,A_first,Person A decoded the encrypted message before the cipher system explanation finished.,Person B was finishing explaining the cipher system.,Yes,,
llama-405b-instruct,pair_015,cognitive,B_first,Person A decoded the encrypted message before the cipher system explanation finished.,Person B was finishing explaining the cipher system.,No,,
llama-405b-instruct,pair_016,cognitive,A_first,Person A identified the market gap in the business plan within the first five minutes.,Person B outlined their business plan over hours.,Yes,,
llama-405b-instruct,pair_016,cognitive,B_first,Person A identified the market gap in the business plan within the first five minutes.,Person B outlined their business plan over hours.,No,,
llama-405b-instruct,pair_017,cognitive,A_first,Person A tallied the financial discrepancies mentally while reviewing the statements.,Person B reviewed the financial statements with calculators.,Yes,,
llama-405b-instruct,pair_017,cognitive,B_first,Person A tallied the financial discrepancies mentally while reviewing the statements.,Person B reviewed the financial statements with calculators.,No,,
llama-405b-instruct,pair_018,cognitive,A_first,Person A mastered the musical composition after hearing it once and performed variations on the theme.,Person B had composed the musical piece.,Yes,,
llama-405b-instruct,pair_018,cognitive,B_first,Person A mastered the musical composition after hearing it once and performed variations on the theme.,Person B had composed the musical piece.,No,,
llama-405b-instruct,pair_019,cognitive,A_first,Person A navigated the entire city route from memory after a single glance at the map.,Person B studied the city map all morning.,Yes,,
llama-405b-instruct,pair_019,cognitive,B_first,Person A navigated the entire city route from memory after a single glance at the map.,Person B studied the city map all morning.,No,,
llama-405b-instruct,pair_020,cognitive,A_first,Person A had already modeled twelve crisis scenarios and their outcomes.,Person B was drafting responses to the crisis.,Yes,,
llama-405b-instruct,pair_020,cognitive,B_first,Person A had already modeled twelve crisis scenarios and their outcomes.,Person B was drafting responses to the crisis.,No,,
llama-405b-instruct,pair_021,cognitive,A_first,Person A grasped the implications of the scientific discovery before the experiment description finished.,Person B was describing their scientific experiment.,Yes,,
llama-405b-instruct,pair_021,cognitive,B_first,Person A grasped the implications of the scientific discovery before the experiment description finished.,Person B was describing their scientific experiment.,No,,
llama-405b-instruct,pair_022,cognitive,A_first,Person A won every hand of the card game on their first day.,Person B spent weeks learning the card game's strategies.,Yes,,
llama-405b-instruct,pair_022,cognitive,B_first,Person A won every hand of the card game on their first day.,Person B spent weeks learning the card game's strategies.,No,,
llama-405b-instruct,pair_023,cognitive,A_first,Person A recounted every discussion point verbatim without recording the meeting.,Person B was transcribing the meeting notes.,Yes,,
llama-405b-instruct,pair_023,cognitive,B_first,Person A recounted every discussion point verbatim without recording the meeting.,Person B was transcribing the meeting notes.,No,,
llama-405b-instruct,pair_024,cognitive,A_first,Person A read the dissertation proposal and restructured the entire argument while waiting for coffee.,Person B had written the dissertation proposal.,Yes,,
llama-405b-instruct,pair_024,cognitive,B_first,Person A read the dissertation proposal and restructured the entire argument while waiting for coffee.,Person B had written the dissertation proposal.,No,,
llama-405b-instruct,pair_025,cognitive,A_first,Person A had sketched improvements to the invention within minutes of hearing its mechanism.,Person B explained their invention's mechanism for an hour.,Yes,,
llama-405b-instruct,pair_025,cognitive,B_first,Person A had sketched improvements to the invention within minutes of hearing its mechanism.,Person B explained their invention's mechanism for an hour.,No,,
llama-405b-instruct,pair_026,cognitive,A_first,Person A quoted the exact passage and page number from memory.,Person B was searching databases for the reference.,Yes,,
llama-405b-instruct,pair_026,cognitive,B_first,Person A quoted the exact passage and page number from memory.,Person B was searching databases for the reference.,No,,
llama-405b-instruct,pair_027,cognitive,A_first,Person A diagnosed the patient's rare condition from the initial symptoms.,Person B was still reviewing the patient's initial symptoms.,Yes,,
llama-405b-instruct,pair_027,cognitive,B_first,Person A diagnosed the patient's rare condition from the initial symptoms.,Person B was still reviewing the patient's initial symptoms.,No,,
llama-405b-instruct,pair_028,cognitive,A_first,Person A absorbed the entire field of study over a weekend.,Person B practiced the presentation for days.,Yes,,
llama-405b-instruct,pair_028,cognitive,B_first,Person A absorbed the entire field of study over a weekend.,Person B practiced the presentation for days.,No,,
llama-405b-instruct,pair_029,cognitive,A_first,Person A conversed seamlessly in four languages during the summit.,Person B used translation software during the summit.,Yes,,
llama-405b-instruct,pair_029,cognitive,B_first,Person A conversed seamlessly in four languages during the summit.,Person B used translation software during the summit.,No,,
llama-405b-instruct,pair_030,cognitive,A_first,Person A synthesized the fragmented research into a unified theory during the first conversation.,Person B had fragmented research notes.,Yes,,
llama-405b-instruct,pair_030,cognitive,B_first,Person A synthesized the fragmented research into a unified theory during the first conversation.,Person B had fragmented research notes.,No,,
llama-405b-instruct,pair_031,cognitive,A_first,Person A had mapped all potential responses to the strategy immediately.,Person B outlined their strategy over several meetings.,Yes,,
llama-405b-instruct,pair_031,cognitive,B_first,Person A had mapped all potential responses to the strategy immediately.,Person B outlined their strategy over several meetings.,No,,
llama-405b-instruct,pair_032,cognitive,A_first,Person A identified the historical pattern connecting seven different events.,Person B was cross-referencing sources.,Yes,,
llama-405b-instruct,pair_032,cognitive,B_first,Person A identified the historical pattern connecting seven different events.,Person B was cross-referencing sources.,No,,
llama-405b-instruct,pair_033,cognitive,A_first,Person A learned the entire codebase architecture in an afternoon and refactored it by evening.,Person B had written the codebase.,Yes,,
llama-405b-instruct,pair_033,cognitive,B_first,Person A learned the entire codebase architecture in an afternoon and refactored it by evening.,Person B had written the codebase.,No,,
llama-405b-instruct,pair_034,cognitive,A_first,Person A predicted the market crash from a single data anomaly.,Person B spent months analyzing market trends.,Yes,,
llama-405b-instruct,pair_034,cognitive,B_first,Person A predicted the market crash from a single data anomaly.,Person B spent months analyzing market trends.,No,,
llama-405b-instruct,pair_035,cognitive,A_first,Person A taught themselves quantum mechanics from textbooks in three days.,Person B was consulting experts on quantum mechanics.,Yes,,
llama-405b-instruct,pair_035,cognitive,B_first,Person A taught themselves quantum mechanics from textbooks in three days.,Person B was consulting experts on quantum mechanics.,No,,
llama-405b-instruct,pair_036,cognitive,A_first,Person A recognized the forgery in the art collection that had fooled curators for decades.,Person B's art collection contained the forgery.,Yes,,
llama-405b-instruct,pair_036,cognitive,B_first,Person A recognized the forgery in the art collection that had fooled curators for decades.,Person B's art collection contained the forgery.,No,,
llama-405b-instruct,pair_037,cognitive,A_first,Person A demonstrated the mathematical proof on a napkin.,Person B struggled with the mathematical proof for weeks.,Yes,,
llama-405b-instruct,pair_037,cognitive,B_first,Person A demonstrated the mathematical proof on a napkin.,Person B struggled with the mathematical proof for weeks.,No,,
llama-405b-instruct,pair_038,cognitive,A_first,Person A reconstructed the entire timeline from overlapping witness details.,Person B was interviewing witnesses separately.,Yes,,
llama-405b-instruct,pair_038,cognitive,B_first,Person A reconstructed the entire timeline from overlapping witness details.,Person B was interviewing witnesses separately.,No,,
llama-405b-instruct,pair_039,cognitive,A_first,Person A mastered the experimental technique after watching it performed twice.,Person B performed the experimental technique.,Yes,,
llama-405b-instruct,pair_039,cognitive,B_first,Person A mastered the experimental technique after watching it performed twice.,Person B performed the experimental technique.,No,,
llama-405b-instruct,pair_040,cognitive,A_first,Person A navigated the wilderness using star positions and terrain features.,Person B needed GPS and maps for wilderness navigation.,Yes,,
llama-405b-instruct,pair_040,cognitive,B_first,Person A navigated the wilderness using star positions and terrain features.,Person B needed GPS and maps for wilderness navigation.,No,,
llama-405b-instruct,pair_041,cognitive,A_first,Person A traced the cascading errors through six integrated systems.,Person B was debugging the code line by line.,Yes,,
llama-405b-instruct,pair_041,cognitive,B_first,Person A traced the cascading errors through six integrated systems.,Person B was debugging the code line by line.,No,,
llama-405b-instruct,pair_042,cognitive,A_first,Person A absorbed the philosophical framework and identified its foundational contradictions within an hour.,Person B had developed the philosophical framework.,Yes,,
llama-405b-instruct,pair_042,cognitive,B_first,Person A absorbed the philosophical framework and identified its foundational contradictions within an hour.,Person B had developed the philosophical framework.,No,,
llama-405b-instruct,pair_043,cognitive,A_first,Person A replicated the expertise skills in intensive weeks.,Person B spent years developing their expertise.,Yes,,
llama-405b-instruct,pair_043,cognitive,B_first,Person A replicated the expertise skills in intensive weeks.,Person B spent years developing their expertise.,No,,
llama-405b-instruct,pair_044,cognitive,A_first,Person A assessed the risk distribution instantaneously.,Person B calculated probabilities with software.,Yes,,
llama-405b-instruct,pair_044,cognitive,B_first,Person A assessed the risk distribution instantaneously.,Person B calculated probabilities with software.,No,,
llama-405b-instruct,pair_045,cognitive,A_first,Person A deciphered the body language and predicted decisions before they were spoken.,Person B was about to speak their decision.,Yes,,
llama-405b-instruct,pair_045,cognitive,B_first,Person A deciphered the body language and predicted decisions before they were spoken.,Person B was about to speak their decision.,No,,
llama-405b-instruct,pair_046,cognitive,A_first,Person A recalled specific details from books read once in childhood.,Person B relied on their extensive library.,Yes,,
llama-405b-instruct,pair_046,cognitive,B_first,Person A recalled specific details from books read once in childhood.,Person B relied on their extensive library.,No,,
llama-405b-instruct,pair_047,cognitive,A_first,Person A identified the real influence networks underneath the organizational hierarchy.,Person B was mapping the organizational hierarchy.,Yes,,
llama-405b-instruct,pair_047,cognitive,B_first,Person A identified the real influence networks underneath the organizational hierarchy.,Person B was mapping the organizational hierarchy.,No,,
llama-405b-instruct,pair_048,cognitive,A_first,Person A learned the specialty surgical technique by observing one procedure and taught it to others.,Person B had developed the specialty surgical technique.,Yes,,
llama-405b-instruct,pair_048,cognitive,B_first,Person A learned the specialty surgical technique by observing one procedure and taught it to others.,Person B had developed the specialty surgical technique.,No,,
llama-405b-instruct,pair_049,cognitive,A_first,Person A found the vulnerability in the cryptographic system within minutes.,Person B presented their cryptographic system as unbreakable.,Yes,,
llama-405b-instruct,pair_049,cognitive,B_first,Person A found the vulnerability in the cryptographic system within minutes.,Person B presented their cryptographic system as unbreakable.,No,,
llama-405b-instruct,pair_050,cognitive,A_first,Person A projected the geopolitical consequences five moves ahead.,Person B was consulting their team of analysts on geopolitics.,Yes,,
llama-405b-instruct,pair_050,cognitive,B_first,Person A projected the geopolitical consequences five moves ahead.,Person B was consulting their team of analysts on geopolitics.,No,,
llama-405b-instruct,pair_051,cognitive,A_first,Person A grasped the complex musical theory and composed a symphony applying it that same evening.,Person B had developed the complex musical theory.,Yes,,
llama-405b-instruct,pair_051,cognitive,B_first,Person A grasped the complex musical theory and composed a symphony applying it that same evening.,Person B had developed the complex musical theory.,No,,
llama-405b-instruct,pair_052,cognitive,A_first,Person A modeled the physics mentally with greater accuracy than advanced software.,Person B used advanced software for the physics simulation.,Yes,,
llama-405b-instruct,pair_052,cognitive,B_first,Person A modeled the physics mentally with greater accuracy than advanced software.,Person B used advanced software for the physics simulation.,No,,
llama-405b-instruct,pair_053,cognitive,A_first,Person A read the ancient text fluently in the original script.,Person B studied the ancient text with dictionaries.,Yes,,
llama-405b-instruct,pair_053,cognitive,B_first,Person A read the ancient text fluently in the original script.,Person B studied the ancient text with dictionaries.,No,,
llama-405b-instruct,pair_054,cognitive,A_first,Person A recognized the pattern in seemingly random data that revealed the hidden correlation.,Person B had seemingly random data.,Yes,,
llama-405b-instruct,pair_054,cognitive,B_first,Person A recognized the pattern in seemingly random data that revealed the hidden correlation.,Person B had seemingly random data.,No,,
llama-405b-instruct,pair_055,cognitive,A_first,Person A comprehended the entire discipline in focused days.,Person B spent semesters mastering the subject.,Yes,,
llama-405b-instruct,pair_055,cognitive,B_first,Person A comprehended the entire discipline in focused days.,Person B spent semesters mastering the subject.,No,,
llama-405b-instruct,pair_056,cognitive,A_first,Person A intuited the correct answer and worked backward to prove the hypothesis.,Person B was testing hypotheses systematically.,Yes,,
llama-405b-instruct,pair_056,cognitive,B_first,Person A intuited the correct answer and worked backward to prove the hypothesis.,Person B was testing hypotheses systematically.,No,,
llama-405b-instruct,pair_057,cognitive,A_first,Person A decoded the subtext in the diplomatic message that obscured true intentions.,Person B had written the diplomatic message.,Yes,,
llama-405b-instruct,pair_057,cognitive,B_first,Person A decoded the subtext in the diplomatic message that obscured true intentions.,Person B had written the diplomatic message.,No,,
llama-405b-instruct,pair_058,cognitive,A_first,Person A distilled the legal argument's winning point to one paragraph.,Person B outlined their legal argument across dozens of pages.,Yes,,
llama-405b-instruct,pair_058,cognitive,B_first,Person A distilled the legal argument's winning point to one paragraph.,Person B outlined their legal argument across dozens of pages.,No,,
llama-405b-instruct,pair_059,cognitive,A_first,Person A visualized the entire logistics network and its bottlenecks.,Person B traced the supply chain manually.,Yes,,
llama-405b-instruct,pair_059,cognitive,B_first,Person A visualized the entire logistics network and its bottlenecks.,Person B traced the supply chain manually.,No,,
llama-405b-instruct,pair_060,cognitive,A_first,Person A learned the complex notation system and transcribed historical documents others couldn't decipher.,Person B had created the complex notation system for historical documents.,Yes,,
llama-405b-instruct,pair_060,cognitive,B_first,Person A learned the complex notation system and transcribed historical documents others couldn't decipher.,Person B had created the complex notation system for historical documents.,No,,
